0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/mc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/pp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/maestro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/disc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/img/visa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:46 +0700] "GET /DemoSpringMVC/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:47 +0700] "GET /DemoSpringMVC/assets/user/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [26/May/2023:13:40:47 +0700] "GET /DemoSpringMVC/assets/user/ico/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/san-pham/1 HTTP/1.1" 200 17875
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/assets/user/img/c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/assets/user/img/d.jpg HTTP/1.1" 200 43015
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:00 +0700] "GET /DemoSpringMVC/assets/user/img/e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:06 +0700] "GET /DemoSpringMVC/san-pham/1/2 HTTP/1.1" 200 17869
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:06 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:41:06 +0700] "GET /DemoSpringMVC/san-pham/1/assets/img/3.png HTTP/1.1" 404 682
